model,kernel,representation,best_gamma,best_lambda,best_degree,best_coef0,test_rmse,test_mae,cv_rmse_mean_at_best,cv_rmse_std_at_best,cv_mae_mean_at_best,cv_mae_std_at_best
kernel_ridge_regression,linear,scaled,N/A,1.0,N/A,N/A,39.215463317161024,35.824731948766654,38.91997120923283,0.5541788061842998,35.10531595974817,0.44175129526805196
kernel_ridge_regression,rbf,scaled,0.1,0.01,N/A,N/A,13.77021141097731,7.6197445835204585,15.51728571252786,0.6281771108733818,8.518545356935721,0.3186845284318402
kernel_ridge_regression,laplacian,scaled,0.1,0.01,N/A,N/A,13.053007354003041,7.0558423693805095,13.566520341774273,0.8277444809156285,7.587519471516039,0.3469128881630769
kernel_ridge_regression,polynomial,scaled,0.01,0.1,3,1.0,14.530294979417226,9.536880982644409,14.959008496337958,0.5855104025153587,10.055215730298602,0.29385385813832005
kernel_ridge_regression,linear,pca,N/A,1.0,N/A,N/A,41.13421156008743,35.938778069349596,40.50564483388207,0.48510083097167433,34.94350347940297,0.1654690457993842
kernel_ridge_regression,rbf,pca,0.1,0.01,N/A,N/A,14.298823978186883,7.981943670727128,15.853746249749438,0.4375562037618236,8.908048619155203,0.23716020725611664
kernel_ridge_regression,laplacian,pca,0.1,0.01,N/A,N/A,12.54765271447389,7.10536103812843,13.166646578173877,0.7009202333801805,7.695260446541349,0.27875405236580914
kernel_ridge_regression,polynomial,pca,0.01,0.1,3,1.0,15.058477498595884,10.217697522554186,16.349416593241546,0.7354999963477767,11.183879289662096,0.27343987464028074
